batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,9.599999657439184e-07,,23,88132.25,88132.25,73912.28125,0.6047390699386597,73912.21875,,,,74069.921875,74069.921875
,1.0,1.919999931487837e-06,,47,74864.484375,74864.484375,66756.390625,0.5953958630561829,66756.34375,,,,64845.6015625,64845.6015625
0.0024672653526067734,,,1.9999999949504854e-06,49.0,,,,,,60020.9140625,0.5824264883995056,60020.859375,,
,2.0,2.880000010918593e-06,,71,59818.90625,59818.90625,56615.390625,0.5773195624351501,56615.3359375,,,,54216.421875,54216.421875
,3.0,3.839999862975674e-06,,95,47846.8984375,47846.8984375,46215.57421875,0.5529394745826721,46215.515625,,,,45246.71484375,45246.71484375
0.0038443419616669416,,,3.999999989900971e-06,99.0,,,,,,40205.5703125,0.5592542886734009,40205.515625,,
,4.0,4.800000169780105e-06,,119,38450.39453125,38450.39453125,38715.046875,0.5226234197616577,38714.9921875,,,,38601.50390625,38601.50390625
,5.0,5.760000021837186e-06,,143,32236.86328125,32236.86328125,33308.8828125,0.4883536696434021,33308.83203125,,,,33745.90625,33745.90625
0.004180908668786287,,,6.000000212225132e-06,149.0,,,,,,29203.2734375,0.45762720704078674,29203.2265625,,
,6.0,6.719999873894267e-06,,167,28379.201171875,28379.201171875,29295.7265625,0.45124804973602295,29295.681640625,,,,30189.47265625,30189.47265625
,7.0,7.679999725951348e-06,,191,24814.568359375,24814.568359375,26098.99609375,0.4108657240867615,26098.955078125,,,,27230.5546875,27230.5546875
0.006634084973484278,,,7.999999979801942e-06,199.0,,,,,,21070.439453125,0.3910078704357147,21070.400390625,,
,8.0,8.639999578008428e-06,,215,22247.263671875,22247.263671875,23608.806640625,0.3676076829433441,23608.76953125,,,,25104.2734375,25104.2734375
,9.0,9.599999430065509e-06,,239,21308.25390625,21308.25390625,21310.68359375,0.32199519872665405,21310.650390625,,,,23415.984375,23415.984375
0.0030334265902638435,,,9.999999747378752e-06,249.0,,,,,,20770.181640625,0.29240262508392334,20770.15234375,,
,10.0,1.0560000191617291e-05,,263,19744.62890625,19744.62890625,19813.84375,0.2737013101577759,19813.81640625,,,,21891.796875,21891.796875
,11.0,1.1520000043674372e-05,,287,19280.734375,19280.734375,18232.04296875,0.2232862114906311,18232.01953125,,,,20807.15625,20807.15625
0.0031303525902330875,,,1.2000000424450263e-05,299.0,,,,,,14507.5537109375,0.16691270470619202,14507.537109375,,
,12.0,1.2479999895731453e-05,,311,18314.34765625,18314.34765625,17155.49609375,0.17065976560115814,17155.48046875,,,,19775.375,19775.375
,13.0,1.3439999747788534e-05,,335,18825.47265625,18825.47265625,16204.3935546875,0.11713536083698273,16204.3818359375,,,,19358.65625,19358.65625
0.0016184025444090366,,,1.4000000192027073e-05,349.0,,,,,,13865.005859375,0.0680728405714035,13865.0,,
,14.0,1.4399999599845614e-05,,359,17104.884765625,17104.884765625,15191.6328125,0.0704093649983406,15191.625,,,,18660.55078125,18660.55078125
,15.0,1.5359999451902695e-05,,383,17114.865234375,17114.865234375,14633.576171875,0.04241939261555672,14633.572265625,,,,18303.41015625,18303.41015625
0.008078977465629578,,,1.5999999959603883e-05,399.0,,,,,,14743.9970703125,0.03281649947166443,14743.9931640625,,
,16.0,1.6320000213454477e-05,,407,16772.990234375,16772.990234375,13986.7138671875,0.03420315682888031,13986.7109375,,,,17806.75,17806.75
,17.0,1.7279999156016856e-05,,431,17300.98046875,17300.98046875,13293.20703125,0.030950263142585754,13293.203125,,,,17143.736328125,17143.736328125
0.005643831100314856,,,1.8000000636675395e-05,449.0,,,,,,13190.11328125,0.02546529844403267,13190.111328125,,
,18.0,1.823999991756864e-05,,455,16352.083984375,16352.083984375,12830.8740234375,0.02834259904921055,12830.87109375,,,,17536.91015625,17536.91015625
,19.0,1.9199998860131018e-05,,479,19833.1796875,19833.1796875,12780.525390625,0.02635728195309639,12780.5234375,,,,17611.484375,17611.484375
0.0026964496355503798,,,1.9999999494757503e-05,499.0,,,,,,9625.66796875,0.02312462590634823,9625.666015625,,
,20.0,2.01599996216828e-05,,503,16344.39453125,16344.39453125,11997.580078125,0.024855462834239006,11997.578125,,,,16541.17578125,16541.17578125
,21.0,2.111999856424518e-05,,527,16708.955078125,16708.955078125,11271.5947265625,0.02356979250907898,11271.5927734375,,,,16075.08203125,16075.08203125
0.006687165703624487,,,2.2000000171829015e-05,549.0,,,,,,8343.4765625,0.02321781776845455,8343.474609375,,
,22.0,2.2079999325796962e-05,,551,18294.61328125,18294.61328125,11030.8779296875,0.022718798369169235,11030.876953125,,,,16197.927734375,16197.927734375
,23.0,2.3040000087348744e-05,,575,15955.578125,15955.578125,10364.83984375,0.02196938544511795,10364.8388671875,,,,15980.8076171875,15980.8076171875
