batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,7.999999951380232e-08,,1,176.33694458007812,176.33694458007812,315.1227111816406,1.3085483312606812,314.9918518066406,,,,195.1839599609375,195.1839599609375
,1.0,1.5999999902760464e-07,,3,175.3922119140625,175.3922119140625,313.44891357421875,1.3137221336364746,313.3175354003906,,,,194.11441040039062,194.11441040039062
,2.0,2.399999914359796e-07,,5,173.91200256347656,173.91200256347656,308.46075439453125,1.3150906562805176,308.3292541503906,,,,192.4412841796875,192.4412841796875
,3.0,3.199999980552093e-07,,7,171.8978271484375,171.8978271484375,304.32977294921875,1.310115933418274,304.19873046875,,,,190.16326904296875,190.16326904296875
,4.0,4.0000000467443897e-07,,9,169.38604736328125,169.38604736328125,303.0317687988281,1.3020762205123901,302.90155029296875,,,,187.30569458007812,187.30569458007812
,5.0,4.799999828719592e-07,,11,166.37017822265625,166.37017822265625,300.2733154296875,1.322330355644226,300.1410827636719,,,,183.85675048828125,183.85675048828125
,6.0,5.599999894911889e-07,,13,162.878173828125,162.878173828125,293.42254638671875,1.3098584413528442,293.29156494140625,,,,179.86851501464844,179.86851501464844
,7.0,6.399999961104186e-07,,15,158.92518615722656,158.92518615722656,289.3678283691406,1.2947214841842651,289.23834228515625,,,,175.37120056152344,175.37120056152344
,8.0,7.200000027296483e-07,,17,154.56036376953125,154.56036376953125,277.7557373046875,1.2968600988388062,277.62603759765625,,,,170.44590759277344,170.44590759277344
,9.0,8.000000093488779e-07,,19,149.79733276367188,149.79733276367188,270.8624267578125,1.2912027835845947,270.7332763671875,,,,165.08428955078125,165.08428955078125
,10.0,8.800000159681076e-07,,21,144.667724609375,144.667724609375,260.35382080078125,1.2885369062423706,260.2249755859375,,,,159.3218994140625,159.3218994140625
,11.0,9.599999657439184e-07,,23,139.24171447753906,139.24171447753906,249.58602905273438,1.2837249040603638,249.45765686035156,,,,153.22476196289062,153.22476196289062
,12.0,1.040000029206567e-06,,25,133.53501892089844,133.53501892089844,242.7977752685547,1.2774903774261475,242.67002868652344,,,,146.81700134277344,146.81700134277344
,13.0,1.1199999789823778e-06,,27,127.57987976074219,127.57987976074219,235.60916137695312,1.2711713314056396,235.48204040527344,,,,140.15719604492188,140.15719604492188
,14.0,1.2000000424450263e-06,,29,121.41793823242188,121.41793823242188,224.18846130371094,1.2635873556137085,224.06210327148438,,,,133.28282165527344,133.28282165527344
,15.0,1.2799999922208372e-06,,31,115.11314392089844,115.11314392089844,215.15682983398438,1.2617131471633911,215.03067016601562,,,,126.22109985351562,126.22109985351562
,16.0,1.359999941996648e-06,,33,108.72271728515625,108.72271728515625,200.7230682373047,1.247849702835083,200.59828186035156,,,,119.07502746582031,119.07502746582031
,17.0,1.4400000054592965e-06,,35,102.28540802001953,102.28540802001953,188.84786987304688,1.2403194904327393,188.72384643554688,,,,111.88546752929688,111.88546752929688
,18.0,1.5199999552351073e-06,,37,95.89039611816406,95.89039611816406,177.20028686523438,1.2309181690216064,177.07717895507812,,,,104.76092529296875,104.76092529296875
,19.0,1.6000000186977559e-06,,39,89.51899719238281,89.51899719238281,167.68203735351562,1.2204310894012451,167.55999755859375,,,,97.68431091308594,97.68431091308594
,20.0,1.6799999684735667e-06,,41,83.22578430175781,83.22578430175781,157.43893432617188,1.2172735929489136,157.31719970703125,,,,90.69404602050781,90.69404602050781
,21.0,1.7600000319362152e-06,,43,77.06684875488281,77.06684875488281,146.15187072753906,1.2003183364868164,146.0318603515625,,,,83.8608627319336,83.8608627319336
,22.0,1.839999981712026e-06,,45,71.08189392089844,71.08189392089844,137.11148071289062,1.1922909021377563,136.99224853515625,,,,77.24469757080078,77.24469757080078
,23.0,1.919999931487837e-06,,47,65.31288146972656,65.31288146972656,122.74601745605469,1.1835132837295532,122.62767028808594,,,,70.88943481445312,70.88943481445312
5.0657922656682786e-06,,,1.9999999949504854e-06,49.0,,,,,,109.03128051757812,1.2132103443145752,108.90995788574219,,
,24.0,1.9999999949504854e-06,,49,59.79414367675781,59.79414367675781,112.09781646728516,1.1760919094085693,111.98020935058594,,,,64.81598663330078,64.81598663330078
,25.0,2.080000058413134e-06,,51,54.54339599609375,54.54339599609375,104.7470932006836,1.1610445976257324,104.6309814453125,,,,59.04441452026367,59.04441452026367
,26.0,2.159999894502107e-06,,53,49.595420837402344,49.595420837402344,94.66571807861328,1.1506378650665283,94.55065155029297,,,,53.62760925292969,53.62760925292969
,27.0,2.2399999579647556e-06,,55,44.966609954833984,44.966609954833984,88.48168182373047,1.1383200883865356,88.36785125732422,,,,48.57707214355469,48.57707214355469
,28.0,2.320000021427404e-06,,57,40.66936492919922,40.66936492919922,78.13880920410156,1.1310999393463135,78.02569580078125,,,,43.91062927246094,43.91062927246094
,29.0,2.4000000848900527e-06,,59,36.74419403076172,36.74419403076172,69.58885192871094,1.1174349784851074,69.47711944580078,,,,39.681060791015625,39.681060791015625
,30.0,2.4799999209790258e-06,,61,33.18036651611328,33.18036651611328,62.596717834472656,1.1080162525177002,62.48591613769531,,,,35.84980773925781,35.84980773925781
,31.0,2.5599999844416743e-06,,63,29.953712463378906,29.953712463378906,57.55699157714844,1.1046779155731201,57.44652557373047,,,,32.40303039550781,32.40303039550781
,32.0,2.640000047904323e-06,,65,27.072067260742188,27.072067260742188,51.09539794921875,1.0906610488891602,50.986328125,,,,29.34388542175293,29.34388542175293
