batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
-5.5109107051976025e-05,,,1.9999999949504854e-06,49.0,,,,,,0.2663033604621887,0.6902989745140076,0.19727344810962677,,
,0.0,2.7999999474559445e-06,,69,0.14262139797210693,0.14262139797210693,0.27366095781326294,0.7319384813308716,0.2004670947790146,,,,0.14319342374801636,0.14319342374801636
3.5682314774021506e-05,,,3.999999989900971e-06,99.0,,,,,,0.19511854648590088,0.5213441848754883,0.14298413693904877,,
,1.0,5.599999894911889e-06,,139,0.0765155702829361,0.0765155702829361,0.18395200371742249,0.5089018940925598,0.13306181132793427,,,,0.07756311446428299,0.07756311446428299
-8.637933206046e-06,,,6.000000212225132e-06,149.0,,,,,,0.11584373563528061,0.3259361982345581,0.08325010538101196,,
-2.4198243409045972e-05,,,7.999999979801942e-06,199.0,,,,,,0.0717332661151886,0.23537737131118774,0.04819553345441818,,
,2.0,8.400000297115184e-06,,209,0.042668454349040985,0.042668454349040985,0.09124591946601868,0.27287060022354126,0.06395886093378067,,,,0.043791983276605606,0.043791983276605606
-2.5655594981799368e-06,,,9.999999747378752e-06,249.0,,,,,,0.059609465301036835,0.17749375104904175,0.04186008870601654,,
,3.0,1.1199999789823778e-05,,279,0.03923778235912323,0.03923778235912323,0.06010645255446434,0.17849379777908325,0.042257070541381836,,,,0.040074653923511505,0.040074653923511505
-5.160889122635126e-05,,,1.2000000424450263e-05,299.0,,,,,,0.05361168459057808,0.14653462171554565,0.038958221673965454,,
-3.6749661376234144e-05,,,1.4000000192027073e-05,349.0,,,,,,0.048682354390621185,0.13111254572868347,0.03557109832763672,,
,4.0,1.3999999282532372e-05,,349,0.03662663325667381,0.03662663325667381,0.05210632085800171,0.14112356305122375,0.037993960082530975,,,,0.03755314648151398,0.03755314648151398
1.6649268218316138e-05,,,1.5999999959603883e-05,399.0,,,,,,0.04594695568084717,0.12049908936023712,0.0338970422744751,,
,5.0,1.6799998775240965e-05,,419,0.03464013338088989,0.03464013338088989,0.047228194773197174,0.12186849117279053,0.03504134714603424,,,,0.03557589650154114,0.03557589650154114
3.21907464240212e-06,,,1.8000000636675395e-05,449.0,,,,,,0.04439915716648102,0.11070051789283752,0.03332910314202309,,
,6.0,1.9600000086938962e-05,,489,0.032889947295188904,0.032889947295188904,0.04405876249074936,0.11212954670190811,0.03284581005573273,,,,0.033854201436042786,0.033854201436042786
-2.5345538233523257e-05,,,1.9999999494757503e-05,499.0,,,,,,0.041591957211494446,0.10694152116775513,0.030897807329893112,,
-1.3251552445581183e-05,,,2.2000000171829015e-05,549.0,,,,,,0.04196222871541977,0.10775938630104065,0.031186286360025406,,
,7.0,2.2399999579647556e-05,,559,0.03155243396759033,0.03155243396759033,0.041829973459243774,0.10744911432266235,0.0310850627720356,,,,0.03250053524971008,0.03250053524971008
-0.00010624132846714929,,,2.4000000848900527e-05,599.0,,,,,,0.039238445460796356,0.1043577492237091,0.028802670538425446,,
,8.0,2.519999907235615e-05,,629,0.030853619799017906,0.030853619799017906,0.04001671075820923,0.10475914180278778,0.02954079769551754,,,,0.03183571994304657,0.03183571994304657
-4.6107761590974405e-05,,,2.5999999706982635e-05,649.0,,,,,,0.03775273263454437,0.10341235995292664,0.02741149812936783,,
7.240667036967352e-05,,,2.8000000384054147e-05,699.0,,,,,,0.03958021104335785,0.09929856657981873,0.029650356620550156,,
,9.0,2.7999998565064743e-05,,699,0.029818180948495865,0.029818180948495865,0.03854863718152046,0.1023644432425499,0.02831219509243965,,,,0.030730897560715675,0.030730897560715675
-1.8673075828701258e-05,,,2.9999999242136255e-05,749.0,,,,,,0.03850959241390228,0.09936928749084473,0.02857266366481781,,
,10.0,3.079999805777334e-05,,769,0.028592055663466454,0.028592055663466454,0.03713202103972435,0.09995804727077484,0.027136215940117836,,,,0.029543571174144745,0.029543571174144745
2.7190215405425988e-05,,,3.199999991920777e-05,799.0,,,,,,0.03664249926805496,0.09759477525949478,0.026883022859692574,,
,11.0,3.359999755048193e-05,,839,0.027786090970039368,0.027786090970039368,0.03586920350790024,0.09773612767457962,0.026095587760210037,,,,0.02880295179784298,0.02880295179784298
-8.564659219700843e-05,,,3.400000059627928e-05,849.0,,,,,,0.03633684292435646,0.09703000634908676,0.026633841916918755,,
0.00010134757030755281,,,3.600000127335079e-05,899.0,,,,,,0.034663040190935135,0.09615883976221085,0.02504715695977211,,
,12.0,3.6399997043190524e-05,,909,0.026684314012527466,0.026684314012527466,0.03481442108750343,0.09622268378734589,0.025192152708768845,,,,0.02762819454073906,0.02762819454073906
-7.534739415859804e-05,,,3.7999998312443495e-05,949.0,,,,,,0.03339412435889244,0.09551253914833069,0.023842867463827133,,
,13.0,3.919999653589912e-05,,979,0.02580064721405506,0.02580064721405506,0.033790841698646545,0.09490010142326355,0.02430083230137825,,,,0.026750631630420685,0.026750631630420685
-9.368931387143675e-06,,,3.9999998989515007e-05,999.0,,,,,,0.034334391355514526,0.09425634145736694,0.024908756837248802,,
