batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,7.999999951380232e-08,,1,33.38779830932617,33.38779830932617,42.83953094482422,1.7421653270721436,42.665313720703125,,,,38.676963806152344,38.676963806152344
,1.0,1.5999999902760464e-07,,3,33.11317443847656,33.11317443847656,42.927268981933594,1.744762897491455,42.75279235839844,,,,38.35784149169922,38.35784149169922
,2.0,2.399999914359796e-07,,5,32.68604278564453,32.68604278564453,42.013092041015625,1.7448925971984863,41.83860397338867,,,,37.86066436767578,37.86066436767578
,3.0,3.199999980552093e-07,,7,32.11529541015625,32.11529541015625,41.86219024658203,1.7422384023666382,41.68796920776367,,,,37.19436264038086,37.19436264038086
,4.0,4.0000000467443897e-07,,9,31.414234161376953,31.414234161376953,41.04651641845703,1.7446588277816772,40.872047424316406,,,,36.372589111328125,36.372589111328125
,5.0,4.799999828719592e-07,,11,30.598154067993164,30.598154067993164,39.95868682861328,1.7427058219909668,39.78441619873047,,,,35.41111755371094,35.41111755371094
,6.0,5.599999894911889e-07,,13,29.68100357055664,29.68100357055664,39.13420486450195,1.741307020187378,38.96007537841797,,,,34.32328796386719,34.32328796386719
,7.0,6.399999961104186e-07,,15,28.688629150390625,28.688629150390625,37.725128173828125,1.7390666007995605,37.55121994018555,,,,33.137718200683594,33.137718200683594
,8.0,7.200000027296483e-07,,17,27.645145416259766,27.645145416259766,35.879127502441406,1.7372246980667114,35.705406188964844,,,,31.876659393310547,31.876659393310547
,9.0,8.000000093488779e-07,,19,26.582000732421875,26.582000732421875,34.07100296020508,1.7397390604019165,33.89702606201172,,,,30.577009201049805,30.577009201049805
,10.0,8.800000159681076e-07,,21,25.524311065673828,25.524311065673828,32.957035064697266,1.738682508468628,32.783164978027344,,,,29.264230728149414,29.264230728149414
,11.0,9.599999657439184e-07,,23,24.493480682373047,24.493480682373047,31.529003143310547,1.7333621978759766,31.355667114257812,,,,27.960220336914062,27.960220336914062
,12.0,1.040000029206567e-06,,25,23.525867462158203,23.525867462158203,29.484050750732422,1.7312899827957153,29.310922622680664,,,,26.707141876220703,26.707141876220703
,13.0,1.1199999789823778e-06,,27,22.63625717163086,22.63625717163086,28.368940353393555,1.7326430082321167,28.195676803588867,,,,25.51981544494629,25.51981544494629
,14.0,1.2000000424450263e-06,,29,21.85158920288086,21.85158920288086,26.556867599487305,1.733274221420288,26.383541107177734,,,,24.429954528808594,24.429954528808594
,15.0,1.2799999922208372e-06,,31,21.180171966552734,21.180171966552734,25.76320457458496,1.729874849319458,25.59021759033203,,,,23.450504302978516,23.450504302978516
,16.0,1.359999941996648e-06,,33,20.633398056030273,20.633398056030273,24.659656524658203,1.7303112745285034,24.48662567138672,,,,22.596046447753906,22.596046447753906
,17.0,1.4400000054592965e-06,,35,20.214935302734375,20.214935302734375,23.895509719848633,1.7229559421539307,23.72321319580078,,,,21.88115692138672,21.88115692138672
,18.0,1.5199999552351073e-06,,37,19.914871215820312,19.914871215820312,22.759462356567383,1.7214372158050537,22.587318420410156,,,,21.300195693969727,21.300195693969727
,19.0,1.6000000186977559e-06,,39,19.716594696044922,19.716594696044922,22.205333709716797,1.7170536518096924,22.033628463745117,,,,20.834739685058594,20.834739685058594
,20.0,1.6799999684735667e-06,,41,19.597209930419922,19.597209930419922,22.03978157043457,1.7177798748016357,21.868003845214844,,,,20.475666046142578,20.475666046142578
,21.0,1.7600000319362152e-06,,43,19.53465461730957,19.53465461730957,21.4482421875,1.7175676822662354,21.276485443115234,,,,20.2010440826416,20.2010440826416
,22.0,1.839999981712026e-06,,45,19.4971981048584,19.4971981048584,21.277664184570312,1.711894154548645,21.106473922729492,,,,19.986629486083984,19.986629486083984
,23.0,1.919999931487837e-06,,47,19.453826904296875,19.453826904296875,21.219581604003906,1.7105488777160645,21.04852867126465,,,,19.80491065979004,19.80491065979004
0.0030502588488161564,,,1.9999999949504854e-06,49.0,,,,,,19.796592712402344,1.621464729309082,19.63444709777832,,
,24.0,1.9999999949504854e-06,,49,19.38441276550293,19.38441276550293,20.931705474853516,1.7070711851119995,20.760997772216797,,,,19.636938095092773,19.636938095092773
,25.0,2.080000058413134e-06,,51,19.27285385131836,19.27285385131836,20.848896026611328,1.7017595767974854,20.678720474243164,,,,19.467561721801758,19.467561721801758
,26.0,2.159999894502107e-06,,53,19.10346221923828,19.10346221923828,20.46302032470703,1.7002651691436768,20.292993545532227,,,,19.285587310791016,19.285587310791016
,27.0,2.2399999579647556e-06,,55,18.884048461914062,18.884048461914062,20.167724609375,1.6970566511154175,19.99802017211914,,,,19.089479446411133,19.089479446411133
,28.0,2.320000021427404e-06,,57,18.61304473876953,18.61304473876953,20.014904022216797,1.6891019344329834,19.84599494934082,,,,18.87972640991211,18.87972640991211
,29.0,2.4000000848900527e-06,,59,18.307125091552734,18.307125091552734,19.685501098632812,1.6876822710037231,19.51673126220703,,,,18.664260864257812,18.664260864257812
,30.0,2.4799999209790258e-06,,61,17.975427627563477,17.975427627563477,19.555408477783203,1.6830941438674927,19.387100219726562,,,,18.4497127532959,18.4497127532959
,31.0,2.5599999844416743e-06,,63,17.649700164794922,17.649700164794922,19.101436614990234,1.6754004955291748,18.933897018432617,,,,18.2481689453125,18.2481689453125
,32.0,2.640000047904323e-06,,65,17.331008911132812,17.331008911132812,18.994853973388672,1.6700646877288818,18.82784652709961,,,,18.060985565185547,18.060985565185547
,33.0,2.719999883993296e-06,,67,17.02320671081543,17.02320671081543,18.25963592529297,1.6672877073287964,18.092906951904297,,,,17.891151428222656,17.891151428222656
,34.0,2.7999999474559445e-06,,69,16.734676361083984,16.734676361083984,18.081974029541016,1.6603548526763916,17.915937423706055,,,,17.737979888916016,17.737979888916016
,35.0,2.880000010918593e-06,,71,16.466699600219727,16.466699600219727,17.839754104614258,1.6558775901794434,17.67416763305664,,,,17.600013732910156,17.600013732910156
,36.0,2.9600000743812416e-06,,73,16.21995735168457,16.21995735168457,17.311664581298828,1.649965763092041,17.14666748046875,,,,17.473581314086914,17.473581314086914
,37.0,3.0399999104702147e-06,,75,16.001094818115234,16.001094818115234,17.265487670898438,1.6430845260620117,17.101179122924805,,,,17.339868545532227,17.339868545532227
,38.0,3.1199999739328632e-06,,77,15.79568862915039,15.79568862915039,17.149444580078125,1.6373780965805054,16.985706329345703,,,,17.203996658325195,17.203996658325195
,39.0,3.2000000373955118e-06,,79,15.60858154296875,15.60858154296875,16.773645401000977,1.6334508657455444,16.610300064086914,,,,17.050418853759766,17.050418853759766
,40.0,3.279999873484485e-06,,81,15.429546356201172,15.429546356201172,16.424962997436523,1.6267297267913818,16.262290954589844,,,,16.889083862304688,16.889083862304688
,41.0,3.3599999369471334e-06,,83,15.259832382202148,15.259832382202148,16.413867950439453,1.6189125776290894,16.251976013183594,,,,16.71417999267578,16.71417999267578
,42.0,3.440000000409782e-06,,85,15.10400676727295,15.10400676727295,15.981893539428711,1.6148052215576172,15.820411682128906,,,,16.52283477783203,16.52283477783203
,43.0,3.5200000638724305e-06,,87,14.955986976623535,14.955986976623535,15.684785842895508,1.6090301275253296,15.523881912231445,,,,16.32581329345703,16.32581329345703
,44.0,3.5999998999614036e-06,,89,14.808687210083008,14.808687210083008,15.526308059692383,1.6004141569137573,15.366266250610352,,,,16.136743545532227,16.136743545532227
,45.0,3.679999963424052e-06,,91,14.667562484741211,14.667562484741211,15.19457721710205,1.5954545736312866,15.035032272338867,,,,15.952131271362305,15.952131271362305
,46.0,3.7600000268867007e-06,,93,14.519906997680664,14.519906997680664,14.837756156921387,1.5838525295257568,14.679370880126953,,,,15.776424407958984,15.776424407958984
,47.0,3.839999862975674e-06,,95,14.375970840454102,14.375970840454102,14.741853713989258,1.5834202766418457,14.583511352539062,,,,15.600295066833496,15.600295066833496
,48.0,3.919999926438322e-06,,97,14.236888885498047,14.236888885498047,14.508279800415039,1.5738880634307861,14.350890159606934,,,,15.426298141479492,15.426298141479492
0.002832923550158739,,,3.999999989900971e-06,99.0,,,,,,13.558487892150879,1.5867677927017212,13.399810791015625,,
,49.0,3.999999989900971e-06,,99,14.085948944091797,14.085948944091797,14.163238525390625,1.5688343048095703,14.006355285644531,,,,15.263385772705078,15.263385772705078
