batch_pos_mean,epoch,lr,lr_per_step,step,test_loss,test_loss_y,train_loss,train_loss_pos,train_loss_y,train_per_step,train_pos_per_step,train_y_per_step,val_loss,val_loss_y
,0.0,9.599999657439184e-07,,23,343129.15625,343129.15625,487267.5625,1.2209203243255615,487267.46875,,,,345765.75,345765.75
,1.0,1.919999931487837e-06,,47,203524.40625,203524.40625,330857.3125,1.1507387161254883,330857.1875,,,,198739.375,198739.375
-4.567545693134889e-05,,,1.9999999949504854e-06,49.0,,,,,,223441.9375,1.0808992385864258,223441.828125,,
,2.0,2.880000010918593e-06,,71,111734.75,111734.75,158873.34375,1.0397130250930786,158873.21875,,,,100176.5859375,100176.5859375
,3.0,3.839999862975674e-06,,95,87474.984375,87474.984375,89251.6484375,0.9295012354850769,89251.5625,,,,74261.140625,74261.140625
1.9512741346261464e-05,,,3.999999989900971e-06,99.0,,,,,,72100.9921875,0.8130102157592773,72100.9140625,,
,4.0,4.800000169780105e-06,,119,75530.2578125,75530.2578125,74052.3125,0.8207016587257385,74052.234375,,,,65068.6484375,65068.6484375
,5.0,5.760000021837186e-06,,143,65629.8671875,65629.8671875,63490.52734375,0.7257720232009888,63490.45703125,,,,58336.40625,58336.40625
-3.542442209436558e-05,,,6.000000212225132e-06,149.0,,,,,,53889.04296875,0.649934709072113,53888.9765625,,
,6.0,6.719999873894267e-06,,167,57281.0625,57281.0625,55832.859375,0.6311647891998291,55832.79296875,,,,52435.9765625,52435.9765625
,7.0,7.679999725951348e-06,,191,52064.3359375,52064.3359375,49164.76953125,0.5405145883560181,49164.71875,,,,49000.32421875,49000.32421875
-4.514725515036844e-05,,,7.999999979801942e-06,199.0,,,,,,40456.6328125,0.46859073638916016,40456.5859375,,
,8.0,8.639999578008428e-06,,215,48128.1640625,48128.1640625,44733.46875,0.4580208957195282,44733.42578125,,,,45546.55078125,45546.55078125
,9.0,9.599999430065509e-06,,239,45687.99609375,45687.99609375,41745.58203125,0.38274329900741577,41745.54296875,,,,44012.515625,44012.515625
3.2833802833920345e-05,,,9.999999747378752e-06,249.0,,,,,,40562.234375,0.3117663264274597,40562.203125,,
,10.0,1.0560000191617291e-05,,263,43877.52734375,43877.52734375,37779.921875,0.31192901730537415,37779.890625,,,,41794.703125,41794.703125
,11.0,1.1520000043674372e-05,,287,42474.234375,42474.234375,35760.68359375,0.24067270755767822,35760.66015625,,,,40269.66796875,40269.66796875
-5.844120096298866e-06,,,1.2000000424450263e-05,299.0,,,,,,30906.671875,0.17775876820087433,30906.654296875,,
,12.0,1.2479999895731453e-05,,311,41284.5625,41284.5625,33280.8125,0.17854338884353638,33280.796875,,,,38507.46875,38507.46875
,13.0,1.3439999747788534e-05,,335,40129.89453125,40129.89453125,31220.138671875,0.12025627493858337,31220.12890625,,,,37568.0625,37568.0625
-1.3281212886795402e-05,,,1.4000000192027073e-05,349.0,,,,,,25711.15234375,0.0754380077123642,25711.14453125,,
,14.0,1.4399999599845614e-05,,359,39092.3203125,39092.3203125,29562.16796875,0.08297281712293625,29562.16015625,,,,36579.58984375,36579.58984375
,15.0,1.5359999451902695e-05,,383,38441.62890625,38441.62890625,28329.9140625,0.06201130151748657,28329.908203125,,,,35884.21875,35884.21875
5.5388132750522345e-05,,,1.5999999959603883e-05,399.0,,,,,,32067.28515625,0.049586810171604156,32067.28125,,
